Season,Any_Number,Balance_Game,Barkers_Bargain_Bar,Barkers_MarkerS,Bonkers,Bonus_Game,Bullseye,Buy_or_Sell,Card_Game,Check_Game,Check-Out,Clearance_Sale,Cliff_Hangers,Clock_Game,Coming_or_Going,Cover_Up,Credit_Card,Danger_Price,Dice_Game,Do_the_Math,Double_Cross,Double_Prices,Eazy_az_1_2_3,Five_Price_Tags,Flip_Flop,Freeze_Frame,Gas_Money,Golden_Road,Grand_Game,Gridlock,Grocery_Game,Half_Off,Hi_Lo,Hit_Me,Hole_in_One,Hot_Seat,Its_in_the_Bag,Joker,Let_em_Roll,Line_em_Up,Lucky_Seven,Magic_Number,Make_Your_Move,Master_Key,Money_Game,More_or_Less,Most_ExpenSive,Now_or_Then,On_the_Spot,One_Away,1_Right_Price,1_Wrong_Price,Pass_The_Buck,Pathfinder,Pay_the_Rent,Penny_Ante,Pick-a-Number,Pick-a-Pair,Plinko,Pocket_Change,Poker_Game,Punch_a_Bunch,Push_Over,Race_Game,Range_Game,Rat_Race,Safe_Crackers,Secret_X,Shell_Game,Shopping_Spree,Side_by_Side,Spelling_Bee,Squeeze_Play,Stack_the_Deck,Step_Up,Swap_Meet,Switch?,Switcheroo,Take_Two,Temptation,10_Chances,Thats_Too_Much,3_Strikes,Time_is_Money,Triple_Play,2_for_the_Price_of_1,Vend-O-Price
29,12,0,23,3,0,4,9,7,4,6,0,2,16,11,0,9,3,2,17,0,0,14,11,3,5,4,0,2,10,0,7,0,3,9,11,0,1,3,8,5,11,6,5,1,10,0,10,8,0,11,8,10,0,5,0,6,0,16,12,0,4,1,13,5,13,0,3,7,3,6,4,9,11,0,0,7,15,4,4,5,10,4,1,0,1,1,0
30,11,0,21,5,11,5,10,4,5,3,2,4,18,11,0,9,1,4,12,0,0,18,14,5,7,10,0,2,7,0,5,0,3,10,5,0,3,3,9,5,8,2,4,5,19,0,14,6,0,11,13,14,7,4,0,8,2,11,18,0,4,1,11,6,5,0,7,9,3,8,6,6,13,0,1,6,24,0,5,1,4,7,1,0,1,4,0
31,8,0,24,5,10,2,12,6,5,7,1,5,18,12,0,11,3,4,11,0,0,23,12,5,10,6,0,1,6,0,4,0,2,8,7,0,4,1,4,2,5,7,5,5,15,0,12,7,6,11,15,6,4,4,0,0,3,12,17,0,2,4,10,5,10,0,7,9,2,6,7,3,7,0,0,3,16,4,6,3,8,8,3,0,2,2,0
32,5,0,18,3,6,8,9,7,3,7,6,3,11,12,17,10,5,4,14,0,0,20,9,5,8,6,0,2,10,0,2,2,5,10,7,0,1,3,9,7,8,2,5,2,13,0,13,7,3,9,10,8,5,3,0,0,3,13,15,0,4,6,11,5,11,0,6,7,3,6,6,8,5,0,1,5,16,3,3,2,7,9,1,11,2,4,0
33,9,0,15,3,7,8,8,4,3,3,2,1,10,13,20,11,1,2,15,0,0,23,4,0,9,8,0,1,11,0,3,8,4,13,5,0,3,4,7,8,9,3,4,3,16,0,17,8,2,18,14,10,5,2,0,0,2,15,15,8,4,3,9,2,10,0,6,7,4,5,7,6,11,0,1,2,16,1,5,3,3,6,4,0,1,5,0
34,9,6,21,2,6,6,12,5,6,5,3,5,13,13,15,10,3,3,16,0,0,22,9,3,8,5,0,3,6,0,6,6,8,7,4,0,2,2,9,3,8,4,6,3,15,0,13,6,0,5,9,12,5,5,0,0,2,18,12,9,3,1,7,5,9,0,6,5,4,6,6,4,9,0,1,3,16,2,1,0,5,7,3,0,0,3,0
35,9,4,16,3,6,4,6,3,5,4,5,1,10,15,18,6,4,4,9,0,0,15,4,2,7,8,0,2,15,0,4,8,7,1,6,0,0,3,5,4,11,6,7,4,15,1,13,7,0,11,8,11,5,2,0,0,3,14,14,7,5,2,11,10,14,0,4,4,3,6,10,3,10,8,0,3,14,3,6,2,6,4,2,0,2,6,0
36,7,8,15,3,2,3,14,2,11,3,2,3,16,15,9,10,3,5,11,0,0,23,9,4,8,6,0,0,12,0,10,3,11,0,9,0,2,0,4,2,8,5,3,4,21,3,14,10,0,13,14,10,4,6,0,0,6,15,18,8,0,1,13,10,11,0,5,3,4,7,5,4,10,3,0,2,20,1,2,0,9,6,2,0,2,7,0
37,11,4,4,0,6,6,11,0,5,3,8,2,12,7,13,9,0,0,9,0,0,17,12,3,6,7,2,0,5,0,4,4,8,0,5,0,1,0,6,6,8,2,5,3,16,0,18,12,0,6,14,12,3,2,0,0,9,15,8,3,0,0,13,7,7,0,6,8,3,2,12,4,13,2,0,7,23,2,1,0,2,10,1,0,0,5,0
38,11,3,0,0,10,6,6,0,4,0,7,0,13,5,8,8,0,5,5,0,0,20,4,3,9,7,0,0,4,0,7,6,1,0,4,0,1,0,5,5,12,0,4,5,14,1,13,9,0,7,18,11,2,1,0,0,6,12,12,6,0,0,15,2,12,0,6,8,5,5,10,3,11,1,1,3,18,3,2,0,2,5,0,0,0,3,0
39,15,8,0,0,6,5,8,0,2,0,7,0,13,5,10,8,0,2,5,0,0,13,6,2,9,3,1,0,2,0,5,4,5,0,4,0,0,0,4,5,7,1,3,4,12,1,15,9,0,3,11,13,1,1,0,0,8,10,11,4,0,0,10,6,12,6,5,7,4,6,12,1,15,2,1,3,21,0,4,0,1,5,3,0,0,3,0
40,6,8,3,0,6,9,7,0,2,0,8,0,14,5,13,3,0,4,2,0,2,13,6,5,19,12,3,0,7,0,5,5,5,0,5,0,1,0,4,5,8,2,6,1,7,1,14,9,0,2,15,11,4,4,0,0,6,14,16,6,0,0,16,7,13,5,3,9,3,6,15,3,13,1,1,1,21,3,3,1,4,6,0,0,0,3,0
41,11,4,23,0,5,4,6,0,0,0,1,0,29,12,21,3,0,6,4,0,17,14,5,4,24,10,1,0,6,0,4,7,3,0,3,0,1,0,2,7,6,8,3,1,13,3,19,5,0,11,10,16,0,3,1,0,3,7,10,4,0,0,24,4,9,2,7,3,2,9,15,4,8,0,0,4,21,2,2,0,3,4,1,0,0,1,0
42,8,2,16,0,7,9,8,0,3,3,7,0,10,3,19,8,0,4,7,14,8,12,5,5,15,10,1,0,8,0,2,5,3,0,6,0,1,0,4,10,9,1,3,2,11,5,14,9,0,2,16,8,5,4,1,0,10,7,14,5,0,1,15,5,10,3,6,6,4,4,19,3,17,1,2,5,18,1,5,1,3,5,1,0,0,3,0
43,9,6,17,0,3,4,12,0,7,6,5,0,13,8,18,7,0,3,13,10,10,16,6,6,19,5,1,1,6,0,3,7,5,0,5,0,2,0,2,3,7,4,5,4,11,3,23,6,0,5,20,12,3,1,0,0,11,8,12,6,0,0,15,9,11,5,3,8,6,7,12,3,18,2,0,6,22,1,4,1,1,5,1,1,0,5,0
44,8,11,14,0,8,7,7,0,9,5,6,0,14,9,16,10,0,6,8,16,7,19,3,4,15,8,1,1,7,0,0,5,2,0,1,0,1,0,7,5,7,5,4,5,12,2,19,7,0,7,11,8,3,3,1,0,12,7,11,5,0,0,13,6,16,2,6,4,3,7,19,3,18,2,0,5,23,3,4,1,2,8,2,0,1,3,8
45,9,5,15,0,7,7,6,0,7,2,2,0,11,7,13,7,0,6,13,15,10,17,6,2,12,4,2,0,7,0,6,7,8,0,4,1,0,0,5,5,10,4,6,3,15,3,11,8,0,10,12,13,5,3,0,0,8,11,15,3,0,1,11,6,13,6,6,10,4,7,15,5,17,2,0,5,18,1,6,0,4,5,1,1,1,3,8
46,8,11,18,0,5,6,8,0,11,3,3,0,16,4,13,6,0,4,8,16,8,17,4,4,15,11,0,1,10,8,0,6,4,0,5,2,0,0,5,3,10,3,5,3,9,2,13,6,0,7,13,10,2,1,1,0,12,9,14,5,0,1,16,7,12,5,6,10,3,8,14,1,11,1,0,4,14,2,5,0,3,7,0,1,0,4,9
